entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-14 21:30:00,2025-01-14 22:00:00,BUY,1.03053,1.030225,-45.13999999999996,Stop Loss,2
2025-01-15 07:30:00,2025-01-15 08:00:00,BUY,1.02998,1.0312996428571428,186.069642857152,Take Profit,2
2025-01-15 07:45:00,2025-01-15 08:15:00,BUY,1.03052,1.0306664285714286,19.62142857142535,Stop Loss,2
2025-01-15 08:00:00,2025-01-15 08:15:00,BUY,1.03123,1.0302635714285715,-114.03857142857365,Stop Loss,1
2025-01-15 09:00:00,2025-01-15 10:30:00,BUY,1.03006,1.0302657142857143,19.542857142864634,Stop Loss,6
2025-01-15 09:30:00,2025-01-15 10:30:00,BUY,1.03106,1.0301799999999999,-83.60000000002032,Stop Loss,4
2025-01-15 09:45:00,2025-01-15 10:30:00,BUY,1.03097,1.03016,-75.3299999999979,Stop Loss,3
2025-01-15 10:00:00,2025-01-15 11:30:00,BUY,1.03096,1.0303257142857143,-57.085714285722844,Stop Loss,6
2025-01-15 10:45:00,2025-01-15 11:30:00,BUY,1.03071,1.0303542857142858,-33.08142857142404,Stop Loss,3
2025-01-15 11:00:00,2025-01-15 11:30:00,BUY,1.03115,1.0300364285714285,-109.13000000000618,Stop Loss,2
2025-01-15 12:15:00,2025-01-15 12:45:00,BUY,1.03028,1.0295221428571428,-86.395714285727,Stop Loss,2
2025-01-15 13:15:00,2025-01-15 13:30:00,BUY,1.03024,1.031765,179.94999999999982,Take Profit,1
2025-01-15 13:45:00,2025-01-15 14:00:00,BUY,1.0344,1.032804642857143,-110.07964285713844,Stop Loss,1
2025-01-15 16:45:00,2025-01-16 07:30:00,SELL,1.02807,1.03009,-76.75999999999661,Stop Loss,59
2025-01-15 20:00:00,2025-01-15 23:00:00,SELL,1.02922,1.029285,-7.994999999997754,Stop Loss,12
2025-01-16 01:45:00,2025-01-16 04:00:00,SELL,1.0289,1.029032142857143,-17.971428571451398,Stop Loss,9
2025-01-16 02:15:00,2025-01-16 04:00:00,SELL,1.02872,1.0290421428571428,-42.84499999998115,Stop Loss,7
2025-01-16 03:00:00,2025-01-16 04:00:00,SELL,1.02866,1.0290814285714285,-51.83571428571443,Stop Loss,4
